A�O;MES;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO_HECHO;MODALIDAD;CANTIDAD
2018;1;CAJAMARCA;CAJABAMBA;CACHACHI;60202;Otros;2
2018;1;CAJAMARCA;CAJABAMBA;CAJABAMBA;60201;Estafa;1
2018;1;CAJAMARCA;CAJABAMBA;CAJABAMBA;60201;Hurto;11
2018;1;CAJAMARCA;CAJABAMBA;CAJABAMBA;60201;Otros;14
2018;1;CAJAMARCA;CAJABAMBA;CAJABAMBA;60201;Robo;1
2018;1;CAJAMARCA;CAJABAMBA;CAJABAMBA;60201;Violencia contra la mujer e integrantes;6
2018;1;CAJAMARCA;CAJABAMBA;CONDEBAMBA;60203;Hurto;1
2018;1;CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;Estafa;1
2018;1;CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;Extorsión;1
2018;1;CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;Hurto;83
2018;1;CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;Otros;201
2018;1;CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;Robo;13
2018;1;CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;Violencia contra la mujer e integrantes;41
2018;1;CAJAMARCA;CAJAMARCA;ENCAÑADA;60105;Hurto;1
2018;1;CAJAMARCA;CAJAMARCA;ENCAÑADA;60105;Otros;5
2018;1;CAJAMARCA;CAJAMARCA;JESUS;60106;Hurto;1
2018;1;CAJAMARCA;CAJAMARCA;JESUS;60106;Otros;10
2018;1;CAJAMARCA;CAJAMARCA;LLACANORA;60107;Hurto;1
2018;1;CAJAMARCA;CAJAMARCA;LLACANORA;60107;Otros;4
2018;1;CAJAMARCA;CAJAMARCA;LOS BAÑOS DEL INCA;60108;Hurto;11
2018;1;CAJAMARCA;CAJAMARCA;LOS BAÑOS DEL INCA;60108;Otros;47
2018;1;CAJAMARCA;CAJAMARCA;LOS BAÑOS DEL INCA;60108;Robo;1
2018;1;CAJAMARCA;CAJAMARCA;LOS BAÑOS DEL INCA;60108;Violencia contra la mujer e integrantes;4
2018;1;CAJAMARCA;CAJAMARCA;MAGDALENA;60109;Hurto;1
2018;1;CAJAMARCA;CAJAMARCA;MAGDALENA;60109;Otros;3
2018;1;CAJAMARCA;CAJAMARCA;NAMORA;60111;Hurto;1
2018;1;CAJAMARCA;CAJAMARCA;NAMORA;60111;Otros;4
2018;1;CAJAMARCA;CAJAMARCA;SAN JUAN;60112;Violencia contra la mujer e integrantes;1
2018;1;CAJAMARCA;CELENDIN;CELENDIN;60301;Extorsión;1
2018;1;CAJAMARCA;CELENDIN;CELENDIN;60301;Homicidio;1
2018;1;CAJAMARCA;CELENDIN;CELENDIN;60301;Hurto;5
2018;1;CAJAMARCA;CELENDIN;CELENDIN;60301;Otros;36
2018;1;CAJAMARCA;CELENDIN;CELENDIN;60301;Robo;4
2018;1;CAJAMARCA;CELENDIN;CELENDIN;60301;Violencia contra la mujer e integrantes;3
2018;1;CAJAMARCA;CELENDIN;HUASMIN;60304;Otros;3
2018;1;CAJAMARCA;CELENDIN;JOSE GALVEZ;60306;Hurto;1
2018;1;CAJAMARCA;CELENDIN;JOSE GALVEZ;60306;Otros;2
2018;1;CAJAMARCA;CELENDIN;MIGUEL IGLESIAS;60307;Otros;1
2018;1;CAJAMARCA;CELENDIN;SOROCHUCO;60309;Otros;1
2018;1;CAJAMARCA;CELENDIN;SUCRE;60310;Robo;2
2018;1;CAJAMARCA;CELENDIN;UTCO;60311;Otros;1
2018;1;CAJAMARCA;CHOTA;CHOTA;60401;Estafa;4
2018;1;CAJAMARCA;CHOTA;CHOTA;60401;Hurto;14
2018;1;CAJAMARCA;CHOTA;CHOTA;60401;Otros;38
2018;1;CAJAMARCA;CHOTA;CHOTA;60401;Robo;1
2018;1;CAJAMARCA;CHOTA;CHOTA;60401;Violencia contra la mujer e integrantes;15
2018;1;CAJAMARCA;CHOTA;HUAMBOS;60409;Otros;1
2018;1;CAJAMARCA;CHOTA;LLAMA;60411;Otros;2
